id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;long_f;int_f;bool_f;big_f;dur_f;local_df;zone_df;uu_f;pict;pict_content_type;comments;cv;cv_content_type
1;Oda;Medhurst;Misty94@yahoo.com;um dreamer hector;2023-10-21T05:10:17;14836.78;25922.24;1562;22578;false;12923.72;22950;2023-10-20;2023-10-21T06:23:39;79388269-899b-4567-a38b-ad67999093c8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;Eveline;Cole;Octavia_Huels@gmail.com;quicker diphthongise;2023-10-21T05:06:40;1494.67;29763.53;15516;27325;true;10127.31;21872;2023-10-20;2023-10-21T01:52:42;6feb740c-6ee4-4d33-8d84-802512e26d3a;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;Cecile;Kohler;Norbert45@gmail.com;whether faint actually;2023-10-21T05:50:15;22638.36;6350.24;934;29833;false;8716.29;29013;2023-10-20;2023-10-21T03:59:03;67fff077-0482-4665-a03c-bc5d4e2b4c55;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;Bernhard;Hyatt;Nikolas78@gmail.com;who meanwhile;2023-10-21T04:50:16;20904.23;25191.23;10775;1967;true;15291.37;31327;2023-10-20;2023-10-21T01:49:02;6702464f-8270-4724-80fa-a12b6c9a6f46;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;Laurie;Daniel;Cleo88@gmail.com;despite smoulder;2023-10-21T11:02:03;10571.1;24490.12;22522;27715;true;15014.3;3946;2023-10-20;2023-10-20T14:33:22;15ba9d0d-016f-474e-9c7c-e61746f11736;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;Danny;Koelpin;Emiliano.Hammes@gmail.com;er ornate;2023-10-21T05:23:04;4068.4;27617.89;21715;31494;true;13228.7;31899;2023-10-21;2023-10-20T22:11:14;55fc5103-ee19-446e-a2df-89dc0ca1f759;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;Einar;Heathcote;Cornelius.Douglas-Abshire@hotmail.com;meh;2023-10-20T18:17:00;10787.46;32039.65;25896;32716;true;14869.3;29325;2023-10-20;2023-10-20T12:17:34;c834c098-4063-408b-8573-39aca3dfbee4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;Margie;Toy;Daryl41@hotmail.com;twin mitigate under;2023-10-21T00:12:56;28619.94;24991.69;27211;27327;true;24774.08;4727;2023-10-20;2023-10-21T11:00:02;f5f8e990-c3a0-4ffe-85d5-ef16633f95a3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;Chase;Kovacek;Rex.Mante24@hotmail.com;however inactivate;2023-10-20T19:59:45;14224.94;15257.03;6607;27046;false;12282.48;14805;2023-10-20;2023-10-20T20:19:39;67be8d77-3eb9-4cfb-83b7-10961ce1904c;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;Clifton;Klocko;Curtis_Hartmann@gmail.com;weak;2023-10-21T11:09:28;4573.07;1479.78;10608;24745;false;16088.48;4809;2023-10-20;2023-10-20T22:06:23;bfd660f0-921e-4c38-a9eb-f13f6e6d593f;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
